encoded_article,decoded_article,fame_score
55_Cancri_d,55_Cancri_d,4.0
55_Cancri_e,55_Cancri_e,4.0
5th_century,5th_century,3.0
6-2-0,6-2-0,2.0
6th_century,6th_century,3.0
7th_century,7th_century,3.0
8th_century,8th_century,6.0
90377_Sedna,90377_Sedna,3.0
9th_century,9th_century,6.0
A._E._J._Collins,A._E._J._Collins,2.0
ABO_blood_group_system,ABO_blood_group_system,5.0
AC_DC,AC_DC,8.0
AIDS,AIDS,9.0
AK-47,AK-47,8.0
ALCO_FA,ALCO_FA,3.0
ASCII,ASCII,6.0
AT%26T,AT&T,9.0
ATLAS_experiment,ATLAS_experiment,5.0
A_Christmas_Carol,A_Christmas_Carol,8.0
A_Tale_of_a_Tub,A_Tale_of_a_Tub,4.0
A_Wrinkle_in_Time,A_Wrinkle_in_Time,6.0
A_cappella,A_cappella,7.0
Aachen,Aachen,6.0
Aardvark,Aardvark,5.0
Aarhus,Aarhus,4.0
Abac%C3%A1,Abacá,3.0
Abacus,Abacus,6.0
Abadan,Abadan,5.0
Abbadid,Abbadid,3.0
Abbas_I_of_Persia,Abbas_I_of_Persia,6.0
Abbasid,Abbasid,7.0
Abbey,Abbey,5.0
Abbey_Theatre,Abbey_Theatre,6.0
Abbot,Abbot,5.0
Abel_Tasman,Abel_Tasman,6.0
Aberdeen,Aberdeen,7.0
Aberration_of_light,Aberration_of_light,6.0
Aberystwyth,Aberystwyth,6.0
Abhidhamma_Pitaka,Abhidhamma_Pitaka,5.0
Abidjan,Abidjan,6.0
Abkhazia,Abkhazia,5.0
Able_Archer_83,Able_Archer_83,6.0
Abraham_Goldfaden,Abraham_Goldfaden,5.0
Abraham_Lincoln,Abraham_Lincoln,10.0
Absinthe,Absinthe,7.0
Absolute_zero,Absolute_zero,7.0
Abstract_art,Abstract_art,7.0
Abu_Dhabi,Abu_Dhabi,8.0
Abuja,Abuja,6.0
Acceleration,Acceleration,5.0
Accountancy,Accountancy,6.0
Accra,Accra,5.0
Acetic_acid,Acetic_acid,4.0
Acetone,Acetone,4.0
Achilles,Achilles,7.0
Achilles_tendon,Achilles_tendon,6.0
Acid_rain,Acid_rain,6.0
Acorn_Computers,Acorn_Computers,5.0
Actinium,Actinium,4.0
Action_potential,Action_potential,5.0
Actor,Actor,9.0
Acts_of_Union_1707,Acts_of_Union_1707,4.0
Actuary,Actuary,5.0
Adam_Smith,Adam_Smith,8.0
Addis_Ababa,Addis_Ababa,6.0
Adelaide,Adelaide,6.0
Adenosine_triphosphate,Adenosine_triphosphate,8.0
Adi_Shankara,Adi_Shankara,7.0
Adolf_Hitler,Adolf_Hitler,10.0
Adriaen_van_der_Donck,Adriaen_van_der_Donck,5.0
Advertising,Advertising,9.0
Aesthetics,Aesthetics,6.0
Afghan_Hound,Afghan_Hound,6.0
Afghanistan,Afghanistan,8.0
Africa,Africa,9.0
African_American_literature,African_American_literature,7.0
African_Black_Oystercatcher,African_Black_Oystercatcher,4.0
African_Brush-tailed_Porcupine,African_Brush-tailed_Porcupine,3.0
African_Buffalo,African_Buffalo,5.0
African_Darter,African_Darter,4.0
African_Great_Lakes,African_Great_Lakes,6.0
African_Grey_Hornbill,African_Grey_Hornbill,4.0
African_Grey_Parrot,African_Grey_Parrot,5.0
African_Jacana,African_Jacana,4.0
African_Penguin,African_Penguin,5.0
African_Union,African_Union,7.0
African_Wild_Dog,African_Wild_Dog,7.0
African_clawed_frog,African_clawed_frog,5.0
African_dwarf_frog,African_dwarf_frog,5.0
African_slave_trade,African_slave_trade,6.0
Afrikaans,Afrikaans,6.0
Agamemnon,Agamemnon,7.0
Age_of_Enlightenment,Age_of_Enlightenment,8.0
Aggregator,Aggregator,5.0
Agnosticism,Agnosticism,7.0
Agriculture,Agriculture,8.0
Airbus,Airbus,8.0
Airbus_A380,Airbus_A380,7.0
Aircraft,Aircraft,9.0
Aircraft_carrier,Aircraft_carrier,8.0
Airship,Airship,6.0
Ajax_%28programming%29,Ajax_(programming),5.0
Akbar,Akbar,6.0
Akhenaten,Akhenaten,6.0
Akira_Kurosawa,Akira_Kurosawa,7.0
Akkadian_Empire,Akkadian_Empire,5.0
Akrotiri_and_Dhekelia,Akrotiri_and_Dhekelia,5.0
Aksumite_currency,Aksumite_currency,3.0
Al_Jazeera,Al_Jazeera,7.0
Alamosaurus,Alamosaurus,4.0
Alan_Turing,Alan_Turing,9.0
Albania,Albania,6.0
Albatross,Albatross,6.0
Albert_Einstein,Albert_Einstein,10.0
Alberto_Santos-Dumont,Alberto_Santos-Dumont,7.0
Albertosaurus,Albertosaurus,5.0
Albigensian_Crusade,Albigensian_Crusade,5.0
Albinism,Albinism,6.0
Albrecht_D%C3%BCrer,Albrecht_Dürer,7.0
Albrecht_Rodenbach,Albrecht_Rodenbach,3.0
Alchemy,Alchemy,6.0
Alcibiades,Alcibiades,5.0
Alcohol,Alcohol,8.0
Aleksandr_Pushkin,Aleksandr_Pushkin,7.0
Aleksandr_Vasilevsky,Aleksandr_Vasilevsky,3.0
Aleksey_Arakcheyev,Aleksey_Arakcheyev,4.0
Alexander_Graham_Bell,Alexander_Graham_Bell,9.0
Alexander_Hamilton,Alexander_Hamilton,9.0
Alexander_the_Great,Alexander_the_Great,10.0
Alfred_Hitchcock,Alfred_Hitchcock,9.0
Alfred_Nobel,Alfred_Nobel,9.0
Alfred_the_Great,Alfred_the_Great,8.0
Algebra,Algebra,7.0
Algeria,Algeria,7.0
Algerian_Civil_War,Algerian_Civil_War,6.0
Algiers,Algiers,6.0
Algol,Algol,4.0
Algoma_Central_Railway,Algoma_Central_Railway,3.0
Algorithm,Algorithm,6.0
Alice%27s_Adventures_in_Wonderland,Alice's_Adventures_in_Wonderland,8.0
All_Blacks,All_Blacks,9.0
All_You_Need_Is_Love_%28The_JAMs_song%29,All_You_Need_Is_Love_(The_JAMs_song),6.0
All_your_base_are_belong_to_us,All_your_base_are_belong_to_us,5.0
Allah,Allah,8.0
Allegory_in_the_Middle_Ages,Allegory_in_the_Middle_Ages,5.0
Alligator,Alligator,6.0
Alliterative_verse,Alliterative_verse,6.0
Allosaurus,Allosaurus,8.0
Almaty,Almaty,7.0
Almond,Almond,6.0
Alpaca,Alpaca,5.0
Alphabet,Alphabet,8.0
Alternating_current,Alternating_current,7.0
Alternation_of_generations,Alternation_of_generations,5.0
Alternative_rock,Alternative_rock,6.0
Aluminium,Aluminium,7.0
Aluminium_chloride,Aluminium_chloride,5.0
Alzheimer%27s_disease,Alzheimer's_disease,9.0
Amaranth_oil,Amaranth_oil,3.0
Amarillo%2C_Texas,"Amarillo,_Texas",4.0
Amazon_Basin,Amazon_Basin,6.0
Amazon_Rainforest,Amazon_Rainforest,7.0
Amazon_River,Amazon_River,8.0
Amazon_parrot,Amazon_parrot,5.0
Amber,Amber,4.0
Amda_Seyon_I,Amda_Seyon_I,3.0
American_Civil_War,American_Civil_War,9.0
American_English,American_English,7.0
American_Revolutionary_War,American_Revolutionary_War,8.0
American_Samoa,American_Samoa,5.0
American_football,American_football,8.0
American_popular_music,American_popular_music,7.0
Americium,Americium,4.0
Amish,Amish,6.0
Ammolite,Ammolite,3.0
Ammonia,Ammonia,4.0
Ammonite,Ammonite,6.0
Ammosaurus,Ammosaurus,3.0
Amsterdam,Amsterdam,8.0
Amtrak,Amtrak,7.0
Amur,Amur,5.0
Anaconda,Anaconda,6.0
Analytical_Marxism,Analytical_Marxism,4.0
Anarchism,Anarchism,7.0
Anarcho-capitalism,Anarcho-capitalism,5.0
Anatomy,Anatomy,8.0
Ancient_Egypt,Ancient_Egypt,9.0
Ancient_Greece,Ancient_Greece,9.0
Ancient_Rome,Ancient_Rome,9.0
Ancient_history,Ancient_history,7.0
Andes,Andes,6.0
Andorra,Andorra,5.0
Andr%C3%A9s_Nocioni,Andrés_Nocioni,4.0
Andrew_Carnegie,Andrew_Carnegie,7.0
Andrew_Dickson_White,Andrew_Dickson_White,3.0
Andrew_Gonzalez,Andrew_Gonzalez,4.0
Andrew_Jackson,Andrew_Jackson,8.0
Andrew_Johnson,Andrew_Johnson,7.0
Andrew_Robinson,Andrew_Robinson,5.0
Andriyivskyy_Descent,Andriyivskyy_Descent,4.0
Andromeda_Galaxy,Andromeda_Galaxy,9.0
Andy_Warhol,Andy_Warhol,8.0
Anemia,Anemia,6.0
Angel_shark,Angel_shark,4.0
Angelica,Angelica,6.0
Angkor,Angkor,7.0
Angkor_Wat,Angkor_Wat,8.0
Anglican_Church_of_Australia,Anglican_Church_of_Australia,6.0
Anglican_Communion,Anglican_Communion,7.0
Anglicanism,Anglicanism,7.0
Anglo-Saxon_literature,Anglo-Saxon_literature,6.0
Angola,Angola,7.0
Anguilla,Anguilla,5.0
Animal,Animal,9.0
Animal_law,Animal_law,6.0
Animal_rights,Animal_rights,7.0
Animation,Animation,9.0
Ankylosaurus,Ankylosaurus,7.0
Ann_Arbor%2C_Michigan,"Ann_Arbor,_Michigan",6.0
Anna_Karenina,Anna_Karenina,8.0
Anne_Frank,Anne_Frank,9.0
Anne_of_Great_Britain,Anne_of_Great_Britain,5.0
Annibale_Bugnini,Annibale_Bugnini,4.0
Anno_Domini,Anno_Domini,6.0
Anschluss,Anschluss,5.0
Ant,Ant,5.0
Antananarivo,Antananarivo,5.0
Antarctic_Treaty_System,Antarctic_Treaty_System,6.0
Antarctic_krill,Antarctic_krill,4.0
Antarctica,Antarctica,8.0
Antarctosaurus,Antarctosaurus,3.0
Anteater,Anteater,5.0
Antelope,Antelope,5.0
Anthony_van_Dyck,Anthony_van_Dyck,6.0
Anthropology,Anthropology,7.0
Antigua_and_Barbuda,Antigua_and_Barbuda,6.0
Antimony,Antimony,5.0
Antlion,Antlion,4.0
Antoine_Lavoisier,Antoine_Lavoisier,7.0
Anton%C3%ADn_Dvo%C5%99%C3%A1k,Antonín_Dvořák,6.0
Anton_Alexander_von_Werner,Anton_Alexander_von_Werner,3.0
Antonio_Vivaldi,Antonio_Vivaldi,7.0
Antwerp,Antwerp,6.0
Apaochi,Apaochi,1.0
Apatosaurus,Apatosaurus,5.0
Ape,Ape,5.0
Aphid,Aphid,5.0
Apollo,Apollo,9.0
Apollo_11,Apollo_11,9.0
Apollo_8,Apollo_8,8.0
Apostolic_Succession,Apostolic_Succession,5.0
Apple,Apple,10.0
Applied_mathematics,Applied_mathematics,7.0
Apricot,Apricot,4.0
Aquarium,Aquarium,6.0
Arab-Israeli_conflict,Arab-Israeli_conflict,8.0
Arab_League,Arab_League,8.0
Arabic_language,Arabic_language,9.0
Arable_land,Arable_land,6.0
Aradia%2C_or_the_Gospel_of_the_Witches,"Aradia,_or_the_Gospel_of_the_Witches",3.0
Aral_Sea,Aral_Sea,7.0
Arcadia_%28play%29,Arcadia_(play),4.0
Archaeoastronomy,Archaeoastronomy,5.0
Archaeology,Archaeology,8.0
Archaeopteryx,Archaeopteryx,6.0
Archbishop_of_Canterbury,Archbishop_of_Canterbury,7.0
Archimedes,Archimedes,8.0
Architecture,Architecture,7.0
Architecture_of_Windows_NT,Architecture_of_Windows_NT,3.0
Architecture_of_the_California_missions,Architecture_of_the_California_missions,2.0
Arctic,Arctic,6.0
Arctic_Circle,Arctic_Circle,5.0
Arctic_Monkeys,Arctic_Monkeys,7.0
Arctic_Ocean,Arctic_Ocean,6.0
Arctic_Tern,Arctic_Tern,4.0
Arecaceae,Arecaceae,3.0
Argan,Argan,5.0
Argentina,Argentina,9.0
Argon,Argon,6.0
Argyle_diamond_mine,Argyle_diamond_mine,4.0
Ariel_Sharon,Ariel_Sharon,7.0
Aristarchus_%28crater%29,Aristarchus_(crater),4.0
Aristotle,Aristotle,9.0
Arithmetic,Arithmetic,5.0
Armadillo,Armadillo,5.0
Armand_Jean_du_Plessis%2C_Cardinal_Richelieu,"Armand_Jean_du_Plessis,_Cardinal_Richelieu",6.0
Armenia,Armenia,7.0
Armia_Krajowa,Armia_Krajowa,4.0
Arnold_Schwarzenegger,Arnold_Schwarzenegger,9.0
Arp2_3_complex,Arp2_3_complex,2.0
Ars_moriendi,Ars_moriendi,3.0
Arsenal_F.C.,Arsenal_F.C.,8.0
Arsenic,Arsenic,6.0
Art,Art,7.0
Arthropod,Arthropod,5.0
Arthur_Ernest_Percival,Arthur_Ernest_Percival,2.0
Arthur_Sullivan,Arthur_Sullivan,7.0
Arthur_Upfield,Arthur_Upfield,4.0
Arthur_Wellesley%2C_1st_Duke_of_Wellington,"Arthur_Wellesley,_1st_Duke_of_Wellington",8.0
Arts_and_crafts,Arts_and_crafts,6.0
Aruba,Aruba,7.0
Arugula,Arugula,3.0
Ascariasis,Ascariasis,9.0
Asia,Asia,4.0
Asp_%28reptile%29,Asp_(reptile),3.0
Asparagus,Asparagus,5.0
Asperger_syndrome,Asperger_syndrome,7.0
Assyria,Assyria,6.0
Astatine,Astatine,4.0
Asteroid,Asteroid,5.0
Asthma,Asthma,6.0
Astrology,Astrology,5.0
Astronomy,Astronomy,7.0
Astrophysics_Data_System,Astrophysics_Data_System,3.0
Asunci%C3%B3n,Asunción,5.0
Ateneo_de_Manila_University,Ateneo_de_Manila_University,5.0
Athanasius_Kircher,Athanasius_Kircher,7.0
Atheism,Atheism,8.0
Athena,Athena,9.0
Athens,Athens,9.0
Athletics_%28track_and_field%29,Athletics_(track_and_field),7.0
Atlanta%2C_Georgia,"Atlanta,_Georgia",8.0
Atlantic_Coast_Line_Railroad,Atlantic_Coast_Line_Railroad,6.0
Atlantic_Ocean,Atlantic_Ocean,7.0
Atlantic_herring,Atlantic_herring,5.0
Atlantic_slave_trade,Atlantic_slave_trade,6.0
Atlantis,Atlantis,9.0
Atom,Atom,9.0
Atonality,Atonality,6.0
Attack_on_Pearl_Harbor,Attack_on_Pearl_Harbor,8.0
Attalus_I,Attalus_I,5.0
Attention-deficit_hyperactivity_disorder,Attention-deficit_hyperactivity_disorder,7.0
Attila_the_Hun,Attila_the_Hun,7.0
Auckland,Auckland,6.0
Augusta%2C_Lady_Gregory,"Augusta,_Lady_Gregory",5.0
Augustan_literature,Augustan_literature,6.0
Auguste_Rodin,Auguste_Rodin,8.0
Augustine_of_Hippo,Augustine_of_Hippo,7.0
Augustus,Augustus,8.0
Australia,Australia,9.0
Australian_English,Australian_English,6.0
Australian_Green_Tree_Frog,Australian_Green_Tree_Frog,5.0
Australian_Open,Australian_Open,7.0
Australian_Ringneck,Australian_Ringneck,3.0
Australian_constitutional_law,Australian_constitutional_law,4.0
Australian_rules_football,Australian_rules_football,5.0
Austria,Austria,10.0
Autism,Autism,8.0
Auto_racing,Auto_racing,7.0
Autobianchi_Primula,Autobianchi_Primula,3.0
Autocracy,Autocracy,6.0
Automated_teller_machine,Automated_teller_machine,7.0
Automatic_number_plate_recognition,Automatic_number_plate_recognition,5.0
Automobile,Automobile,9.0
Autorack,Autorack,4.0
Autostereogram,Autostereogram,3.0
Autumn,Autumn,7.0
Avacha_Volcano,Avacha_Volcano,5.0
Avalanche,Avalanche,6.0
Avatar__The_Last_Airbender,Avatar__The_Last_Airbender,9.0
Avocado,Avocado,7.0
Avon_Gorge,Avon_Gorge,4.0
Avro_Lancaster,Avro_Lancaster,6.0
Axe,Axe,5.0
Ayaan_Hirsi_Ali,Ayaan_Hirsi_Ali,6.0
Aye-aye,Aye-aye,5.0
Aymer_de_Valence%2C_2nd_Earl_of_Pembroke,"Aymer_de_Valence,_2nd_Earl_of_Pembroke",5.0
Azerbaijan,Azerbaijan,7.0
Azerbaijani_people,Azerbaijani_people,6.0
Aztec,Aztec,6.0
BAE_Systems,BAE_Systems,7.0
BASIC,BASIC,6.0
BBC,BBC,9.0
BBC_television_drama,BBC_television_drama,8.0
BP,BP,8.0
BT_Tower,BT_Tower,7.0
B_vitamins,B_vitamins,6.0
Babe_Ruth,Babe_Ruth,9.0
Baboon,Baboon,7.0
Babur,Babur,8.0
Baby_Gender_Mentor,Baby_Gender_Mentor,3.0
Babylonia,Babylonia,6.0
Backgammon,Backgammon,5.0
Bacteria,Bacteria,7.0
Baden-Powell_House,Baden-Powell_House,4.0
Badger,Badger,5.0
Badminton,Badminton,7.0
Badugi,Badugi,3.0
Baghdad,Baghdad,8.0
Bah%C3%A1%27%C3%AD_Faith,Bahá'í_Faith,6.0
Bahamas,Bahamas,7.0
Bahrain,Bahrain,6.0
Baker_Island,Baker_Island,2.0
Bald_Eagle,Bald_Eagle,7.0
Baltic_Sea,Baltic_Sea,6.0
Baltimore%2C_Maryland,"Baltimore,_Maryland",7.0
Bamako,Bamako,7.0
Banana,Banana,6.0
Bandicoot,Bandicoot,5.0
Bangalore,Bangalore,7.0
Bangkok,Bangkok,8.0
Bangladesh,Bangladesh,8.0
Banjul,Banjul,5.0
Bank_of_China_%28Hong_Kong%29,Bank_of_China_(Hong_Kong),6.0
Banknote,Banknote,6.0
Banksy,Banksy,7.0
Bantu,Bantu,8.0
Barack_Obama,Barack_Obama,10.0
Barbados,Barbados,7.0
Barbara_McClintock,Barbara_McClintock,6.0
Barbary_Lion,Barbary_Lion,5.0
Barbary_Macaque,Barbary_Macaque,5.0
Barcelona,Barcelona,9.0
Barium,Barium,4.0
Barley,Barley,4.0
Barn_Owl,Barn_Owl,6.0
Barnacle,Barnacle,6.0
Baroque,Baroque,7.0
Barracuda,Barracuda,6.0
Baruch_Spinoza,Baruch_Spinoza,5.0
Baseball,Baseball,8.0
Basel,Basel,6.0
Basil,Basil,5.0
Basil_Brush,Basil_Brush,4.0
Basilica_of_San_Francesco_d%27Assisi,Basilica_of_San_Francesco_d'Assisi,5.0
Basilica_of_Santa_Maria_degli_Angeli,Basilica_of_Santa_Maria_degli_Angeli,4.0
Basketball,Basketball,10.0
Basking_shark,Basking_shark,6.0
Bass_%28fish%29,Bass_(fish),5.0
Basset_Hound,Basset_Hound,6.0
Bassoon,Bassoon,5.0
Bat,Bat,8.0
Bat-eared_Fox,Bat-eared_Fox,4.0
Bath%2C_Somerset,"Bath,_Somerset",7.0
Bath_School_disaster,Bath_School_disaster,4.0
Batholith,Batholith,3.0
Batman,Batman,10.0
Battle_of_Alesia,Battle_of_Alesia,7.0
Battle_of_Amiens,Battle_of_Amiens,6.0
Battle_of_Austerlitz,Battle_of_Austerlitz,7.0
Battle_of_Badr,Battle_of_Badr,6.0
Battle_of_Bicocca,Battle_of_Bicocca,5.0
Battle_of_Britain,Battle_of_Britain,8.0
Battle_of_Cannae,Battle_of_Cannae,7.0
Battle_of_France,Battle_of_France,6.0
Battle_of_Gettysburg,Battle_of_Gettysburg,7.0
Battle_of_Grunwald,Battle_of_Grunwald,8.0
Battle_of_Hastings,Battle_of_Hastings,9.0
Battle_of_Jutland,Battle_of_Jutland,8.0
Battle_of_Lechaeum,Battle_of_Lechaeum,4.0
Battle_of_Leyte_Gulf,Battle_of_Leyte_Gulf,7.0
Battle_of_Marathon,Battle_of_Marathon,7.0
Battle_of_Midway,Battle_of_Midway,9.0
Battle_of_Moscow,Battle_of_Moscow,7.0
Battle_of_Normandy,Battle_of_Normandy,8.0
Battle_of_Rennell_Island,Battle_of_Rennell_Island,5.0
Battle_of_Sitka,Battle_of_Sitka,4.0
Battle_of_Smolensk_%281943%29,Battle_of_Smolensk_(1943),5.0
Battle_of_Stalingrad,Battle_of_Stalingrad,7.0
Battle_of_Tours,Battle_of_Tours,6.0
Battle_of_Vaslui,Battle_of_Vaslui,3.0
Battle_of_Warsaw_%281920%29,Battle_of_Warsaw_(1920),4.0
Battle_of_the_Bulge,Battle_of_the_Bulge,6.0
Battle_of_the_Eastern_Solomons,Battle_of_the_Eastern_Solomons,4.0
Battle_of_the_Little_Bighorn,Battle_of_the_Little_Bighorn,5.0
Battle_of_the_Santa_Cruz_Islands,Battle_of_the_Santa_Cruz_Islands,3.0
Battle_of_the_Somme_%281916%29,Battle_of_the_Somme_(1916),7.0
Battles_of_the_Mexican-American_War,Battles_of_the_Mexican-American_War,6.0
Bay_Area_Rapid_Transit,Bay_Area_Rapid_Transit,7.0
Bay_of_Bengal,Bay_of_Bengal,7.0
Beach,Beach,6.0
Bean,Bean,5.0
Bear,Bear,9.0
Beatles_for_Sale,Beatles_for_Sale,8.0
Beaver,Beaver,6.0
Bedbug,Bedbug,4.0
Bede,Bede,7.0
Bee,Bee,5.0
Beeching_Axe,Beeching_Axe,4.0
Beekeeping,Beekeeping,6.0
Beep_%28SWBLW%29,Beep_(SWBLW),3.0
Beer,Beer,8.0
Beet,Beet,5.0
Beetle,Beetle,6.0
Behavioral_finance,Behavioral_finance,6.0
Behistun_Inscription,Behistun_Inscription,4.0
Beijing,Beijing,9.0
Beirut,Beirut,7.0
Belarus,Belarus,7.0
Belfast,Belfast,6.0
Belgium,Belgium,8.0
Belize,Belize,5.0
Belton_House,Belton_House,3.0
Ben-Hur_%281959_film%29,Ben-Hur_(1959_film),6.0
Ben_Jonson,Ben_Jonson,6.0
Ben_Nevis,Ben_Nevis,5.0
Bench_language,Bench_language,3.0
Benin,Benin,5.0
Benito_Mussolini,Benito_Mussolini,7.0
Benjamin_Britten,Benjamin_Britten,6.0
Benjamin_Disraeli%2C_1st_Earl_of_Beaconsfield,"Benjamin_Disraeli,_1st_Earl_of_Beaconsfield",4.0
Benjamin_Franklin,Benjamin_Franklin,9.0
Benjamin_Harrison,Benjamin_Harrison,6.0
Benjamin_Mountfort,Benjamin_Mountfort,2.0
Benjamin_of_Tudela,Benjamin_of_Tudela,3.0
Benzene,Benzene,4.0
Berber_languages,Berber_languages,6.0
Beriberi,Beriberi,5.0
Berkelium,Berkelium,4.0
Berlin,Berlin,9.0
Berlin_Wall,Berlin_Wall,8.0
Bermuda,Bermuda,7.0
Bernard_Hinault,Bernard_Hinault,6.0
Bertrand_Russell,Bertrand_Russell,8.0
Beryllium,Beryllium,5.0
Betelgeuse_incident,Betelgeuse_incident,4.0
Bette_Davis,Bette_Davis,9.0
Bhutan,Bhutan,6.0
Bible,Bible,9.0
Bicycle,Bicycle,8.0
Bicycle_Thieves,Bicycle_Thieves,7.0
Big_Bang,Big_Bang,8.0
Bill_Clinton,Bill_Clinton,9.0
Bill_Gates,Bill_Gates,10.0
Billie_Holiday,Billie_Holiday,8.0
Binary_star,Binary_star,6.0
Binoculars,Binoculars,6.0
Binomial_nomenclature,Binomial_nomenclature,5.0
Biodiesel,Biodiesel,6.0
Biodiversity,Biodiversity,7.0
Biofuel,Biofuel,6.0
Bioinformatics,Bioinformatics,5.0
Biology,Biology,8.0
Bionicle__Mask_of_Light,Bionicle__Mask_of_Light,4.0
Biosphere,Biosphere,6.0
Biotechnology,Biotechnology,7.0
Bird,Bird,9.0
Bird_migration,Bird_migration,6.0
Bird_of_prey,Bird_of_prey,6.0
Birmingham,Birmingham,8.0
Birth_control,Birth_control,7.0
Bismuth,Bismuth,5.0
Bison,Bison,5.0
Bissau,Bissau,4.0
Bj%C3%B6rn_Borg,Björn_Borg,7.0
Bj%C3%B8rn%C3%B8ya,Bjørnøya,4.0
Black-backed_Jackal,Black-backed_Jackal,4.0
Black-footed_Cat,Black-footed_Cat,3.0
Black-winged_Stilt,Black-winged_Stilt,4.0
Black_Death,Black_Death,8.0
Black_Rhinoceros,Black_Rhinoceros,6.0
Black_Robin,Black_Robin,5.0
Black_Sea,Black_Sea,5.0
Black_Seminoles,Black_Seminoles,4.0
Black_Wildebeest,Black_Wildebeest,5.0
Black_hole,Black_hole,9.0
Black_panther,Black_panther,8.0
Black_pepper,Black_pepper,5.0
Black_widow_spider,Black_widow_spider,6.0
Blackbird,Blackbird,6.0
Blackcap,Blackcap,4.0
Blackjack,Blackjack,5.0
Blackpool,Blackpool,7.0
Blacktip_reef_shark,Blacktip_reef_shark,5.0
Blade_Runner,Blade_Runner,8.0
Blaise_Pascal,Blaise_Pascal,7.0
Blitzkrieg,Blitzkrieg,8.0
Blokus,Blokus,5.0
Blood_type,Blood_type,6.0
Blue_Jay,Blue_Jay,7.0
Blue_Peter,Blue_Peter,5.0
Blue_Tit,Blue_Tit,6.0
Blue_Whale,Blue_Whale,9.0
Blue_Wildebeest,Blue_Wildebeest,7.0
Blue_shark,Blue_shark,6.0
Bluegrass_music,Bluegrass_music,7.0
Bluetooth,Bluetooth,8.0
Boa,Boa,5.0
Board_game,Board_game,6.0
Boat,Boat,6.0
Bob_Dylan,Bob_Dylan,9.0
Bob_Marley,Bob_Marley,8.0
Bobcat,Bobcat,6.0
Body_mass_index,Body_mass_index,7.0
Bodyline,Bodyline,5.0
Boeing_747,Boeing_747,9.0
Bog,Bog,7.0
Bogot%C3%A1,Bogotá,8.0
Bohemian_Rhapsody,Bohemian_Rhapsody,9.0
Bohor_Reedbuck,Bohor_Reedbuck,2.0
Bohrium,Bohrium,5.0
Bolivia,Bolivia,7.0
Bologna,Bologna,6.0
Boltysh_crater,Boltysh_crater,3.0
Bongo_%28antelope%29,Bongo_(antelope),4.0
Bonobo,Bonobo,5.0
Bontebok,Bontebok,3.0
Booby,Booby,4.0
Book,Book,5.0
Book_of_Common_Prayer,Book_of_Common_Prayer,6.0
Book_of_Kells,Book_of_Kells,6.0
Boolean_logic,Boolean_logic,5.0
Borage,Borage,4.0
Boris_Becker,Boris_Becker,6.0
Boron,Boron,5.0
